city,temp,humidity,conditions,timestamp,pressure,wind_speed,visibility
Islamabad,36.02,32,Clear,2025-05-19T19:20:04.722245,,,
Islamabad,36.02,32,Clear,2025-05-19T19:20:12.338939,,,
Delhi,36.33,22,Clear,2025-05-19T23:22:45.372318,1001.0,5.61,10.0
islamabad,31.58,42,Clear,2025-05-19T23:22:54.989033,1002.0,3.56,10.0
islamabad,88.84,45,Clear,2025-05-19T23:23:32.313671,1002.0,7.96,10.0
islamabad,31.58,42,Clear,2025-05-19T23:23:34.820821,1002.0,3.56,10.0
islamabad,88.84,45,Clear,2025-05-19T23:23:37.235133,1002.0,7.96,10.0
new York,70.25,41,Clear,2025-05-19T23:24:06.327116,1007.0,15.01,10.0
new York,21.07,41,Clear,2025-05-19T23:24:22.147482,1007.0,4.92,10.0
canada,22.41,32,Clouds,2025-05-19T23:26:53.809407,1014.0,9.44,10.0
karachi,28.35,77,Clear,2025-05-19T23:27:03.275329,1004.0,5.81,10.0
faisalabad,37.33,17,Clear,2025-05-19T23:27:38.333886,998.0,5.22,10.0
islamabad,31.58,45,Clear,2025-05-19T23:27:46.680597,1002.0,3.56,10.0
Delhi,33.98,31,Clear,2025-05-19T23:47:30.233482,1001.0,5.13,10.0
Islamabad,31.02,44,Clear,2025-05-19T23:47:49.023894,1001.0,3.36,10.0
Delhi,33.98,31,Clear,2025-05-19T23:48:40.161687,1001.0,5.13,10.0
Delhi,36.21,35,Clear,2025-05-20T00:07:48.258301,999.0,5.13,10.0
Islamabad,31.02,44,Clear,2025-05-20T00:08:06.420261,1002.0,3.36,10.0
Delhi,31.05,45,Haze,2025-05-22T10:38:18.027323,1002.0,5.14,5.0
Delhi,31.05,45,Haze,2025-05-22T10:43:56.625852,1002.0,5.14,5.0
islamabad,38.73,18,Clear,2025-05-22T10:45:35.695557,1002.0,6.34,10.0
Delhi,32.05,45,Haze,2025-05-22T11:30:52.304344,1002.0,3.09,5.0
Islamabad,38.73,18,Clear,2025-05-22T11:31:11.236266,1002.0,6.34,10.0
Islamabad,103.6,17,Clear,2025-05-22T11:34:12.408521,1002.0,14.29,10.0
Islamabad,38.73,18,Clear,2025-05-22T11:34:17.574850,1002.0,6.34,10.0
Islamabad,39.78,17,Clear,2025-05-22T11:43:27.315372,1002.0,6.39,10.0
Islamabad,103.6,17,Clear,2025-05-22T11:43:33.595212,1002.0,14.29,10.0
Delhi,89.69,45,Haze,2025-05-22T11:43:42.449142,1001.0,6.91,5.0
Delhi,32.05,45,Haze,2025-05-22T11:43:48.795225,1001.0,3.09,5.0
Delhi,89.69,45,Haze,2025-05-22T11:43:53.974219,1001.0,6.91,5.0
Faisalabad,113.25,8,Clear,2025-05-22T11:44:07.440568,998.0,7.27,10.0
Faisalabad,45.14,8,Clear,2025-05-22T11:44:16.590785,998.0,3.25,10.0
Delhi,32.05,48,Haze,2025-05-22T12:14:18.402363,1001.0,3.09,5.0
islamabad,39.68,16,Clear,2025-05-22T12:14:29.932208,1002.0,6.39,10.0
Delhi,33.05,46,Haze,2025-05-22T12:21:59.012961,1001.0,3.09,5.0
Delhi,28.05,65,Haze,2025-05-23T03:19:04.910357,1000.0,4.12,4.0
Delhi,28.05,65,Haze,2025-05-23T03:27:14.125081,1000.0,4.12,4.0
Delhi,28.05,65,Haze,2025-05-23T03:41:58.001485,1000.0,4.12,4.0
Delhi,28.05,65,Haze,2025-05-23T03:43:31.937301,1000.0,4.12,4.0
Delhi,28.05,65,Haze,2025-05-23T03:58:06.913861,1000.0,4.63,4.0
Delhi,28.05,65,Haze,2025-05-23T04:10:30.755929,1000.0,4.63,4.0
Delhi,28.05,69,Haze,2025-05-23T04:27:04.350989,1000.0,4.12,3.5
islamabad,29.35,58,Clear,2025-05-23T04:31:58.018650,1000.0,3.2,10.0
Delhi,28.05,69,Haze,2025-05-23T04:45:54.628820,1001.0,4.12,3.5
Islamabad,29.35,59,Clear,2025-05-23T04:46:11.705468,1000.0,3.1,10.0
Islamabad,83.84,60,Clear,2025-05-23T04:59:14.730056,1000.0,6.93,10.0
Islamabad,28.8,60,Clear,2025-05-23T04:59:18.223108,1000.0,3.1,10.0
Islamabad,83.84,60,Clear,2025-05-23T05:00:39.325735,1000.0,6.93,10.0
Islamabad,28.8,60,Clear,2025-05-23T05:00:46.509190,1000.0,3.1,10.0
Delhi,34.05,49,Clear,2025-05-23T11:50:06.212547,999.0,4.12,6.0
islamabad,38.15,23,Clear,2025-05-23T11:51:22.702320,1001.0,4.25,10.0
